CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,
DA,Board,DA0037,"แผ่นPlaswood15mm-เปลือย1200x2400mm (4""x8"")",,บริษัท สุขสวัสดิ์ไม้อัดไทย จำกัด,1112.15,0,,,,,,,
DA,Board,DA0038,"แผ่นPlaswood18mm-เปลือย1200x2400mm (4""x8"")",,บริษัท สุขสวัสดิ์ไม้อัดไทย จำกัด,1327.10,0,,,,,,,
DA,Board,DA0039,"แผ่นPlaswood20mm-เปลือย1200x2400mm (4""x8"")",,บริษัท สุขสวัสดิ์ไม้อัดไทย จำกัด,1415.89,0,,,,,,,
DA,Board,DA0040,"แผ่นPlaswood25mm-เปลือย1200x2400mm (4""x8"")",,บริษัท สุขสวัสดิ์ไม้อัดไทย จำกัด,1943.93,0,,,,,,,
DA,Board,DA0041,"ไม้สนนิวซีแลนด์50mm-เปลือย-100x3000mm (0.3""x10"")",,บริษัท รินเทล จำกัด,367.00,0,,,,,,,
DA,Board,DA0042,"ไม้อัดยางพารางประสาน20mm-เปลือย1200x2400mm (4""x8"") ฟิงเกอร์จ๊อยท์ BC",,บุญวู้ด จำกัด,1350.00,0,,,,,,,
DA,Board,DA0043,"ไม้อัดยางพารางประสาน20mm-เปลือย1200x2400mm (4""x8"") ฟิงเกอร์จ๊อยท์ CC",,บุญวู้ด จำกัด,1150.00,0,,,,,,,
DA,Board,DA0044,"ไม้อัดยางพารางประสาน25mm-เปลือย-1200x2400mm (4""x8"") ฟิงเกอร์จ๊อยท์ BC",,บุญวู้ด จำกัด,1980.00,0,,,,,,,
DA,Board,DA0045,"ไม้อัดยางพารางประสาน25mm-เปลือย-1200x2400mm (4""x8"") บัทจอยท์CC",,บุญวู้ด จำกัด,1450.00,0,,,,,,,
DA,Board,DA0046,"ไม้อัดยางพารางประสาน16mm-เปลือย-1200x2400mm (4""x8"") บัทจอยท์ BC",,บุญวู้ด จำกัด,1350.00,0,,,,,,,
DA,Board,DA0047,"บล็อคบอร์ด15mm-เปลือย-1200x2400mm (4""x8"")",,บริษัท สุขสวัสดิ์ไม้อัดไทย,523.37,0,,,,,,,
DA,Board,DA0048,"บล็อคบอร์ด20mm-เปลือย-1200x2400mm (4""x8"")",,บริษัท สุขสวัสดิ์ไม้อัดไทย,588.79,0,,,,,,,
DA,Board,DA0049,แผ่น SPC4mm-เปลือย - - 950x3000mm,,บี อาร์ ที อินเตอร์เทค จำกัด,660.00,0,,,,,,,
DA,Board,DA0050,"แผ่น PLASMA Board15mm-เปลือย - - 1200x2400 (4""x8"")",,NO DATA,,0,,,,,,,
DA,Board,DA0051,"แผ่น PLASMA Board18mm-เปลือย - - 1200x2400 (4""x8"")",,NO DATA,,0,,,,,,,
DA,Board,DA0052,"ไม้ HDF4mm-เมลามีน MKW3258-09 1หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,230.00,0,,,,,,,
DA,Board,DA0053,"ไม้ HMR4mm-เมลามีน MKW3258-09 1หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,,0,,,,,,,
DA,Board,DA0054,"ไม้ HMR6mm-เมลามีน MKW3258-09 1หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,,0,,,,,,,
DA,Board,DA0055,"ไม้ HMR6mm-เมลามีน MKW3258-09 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,590.00,0,,,,,,,
DA,Board,DA0056,"ไม้ HMR9mm-เมลามีน MKW3258-09 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,645.00,0,,,,,,,
