CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DD,Painting ,DD0031,หมันโป๊ว --สีขาว Bonsy#219 1.5 KG,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,105.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0032,สีพ่นอุตสาหกรรม-ขาวด้าน TOA#911 3.5 L,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,620.00,0,,,2,,,,,,,,,,,,,,,
DD,Painting ,DD0033,สีสเปรย์ อเนกประสงค์-KOBE#910 ดำเงา 400 CC,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),41.12,0,,,75,,,,,,,,,,,,,,,
DD,Painting ,DD0034,ทินเนอร์ A&B 3A - 8.15 L,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,380.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0035,ทินเนอร์ผสมสีเคลือบ-TOA#0021 14 KG,,เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด,380.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0036,ทินเนอร์ผสมสีเคลือบ-TOA#0021 0.946L,,เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด,295.00,0,,,11,,,,,,,,,,,,,,,
DD,Painting ,DD0037,ทินเนอร์ TOA#11G3,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,1500.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0038,แม่สี Pigment--สีน้ำเงิน TOA#8503 5 ลิตร,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,1200.00,0,,,3,,,,,,,,,,,,,,,
DD,Painting ,DD0039,แม่สี Pigment--สีแดง TOA#8504 5 ลิตร,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,1200.00,0,,,2,,,,,,,,,,,,,,,
DD,Painting ,DD0040,แม่สี Pigment--สีเหลือง TOA#8507 5 ลิตร,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,1200.00,0,,,2,,,,,,,,,,,,,,,
DD,Painting ,DD0041,แม่สี Pigment--สีดำ TOA#8501 5 ลิตร,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,1200.00,0,,,5,,,,,,,,,,,,,,,
DD,Painting ,DD0042,แม่สี Pigment--สีขาว TOA#8509 5 ลิตร,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,1200.00,0,,,2,,,,,,,,,,,,,,,
DD,Painting ,DD0043,สีพียู--(พียูทับหน้าขาวด้านส่วน A) TOA#2229 16 KG,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,3200.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0044,โพลียูรีเทน--(ตัวเร่งพียูรองพื้นใสส่วน B) TOA#2151 4 KG,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,750.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0045,หมันโป๊ว --สีขาว Bonsy#219 4 KG,,,,0,,,5,,,,,,,,,,,,,,,
DD,Painting ,DD0046,โพลียูรีเทน--(ตัวเร่งพียูทับหน้าส่วนB) TOA#2201 4 KG,,,1103.00,0,,,6,,,,,,,,,,,,,,,
DD,Painting ,DD0047,แม่สี Pigment STAIN--สีเหลือง TOA#3607 5 L,,,,0,,,1,,,,,,,,,,,,,,,
DD,Painting ,DD0048,แม่สี Pigment STAIN--สีแดง TOA#3604 5 L,,,,0,,,1,,,,,,,,,,,,,,,
DD,Painting ,DD0049,แม่สี Pigment STAIN--สีส้ม TOA#3605 5 L,,,,0,,,1,,,,,,,,,,,,,,,
DD,Painting ,DD0050,แม่สี Pigment STAIN--สีดำ TOA#3601 5 L,,,,0,,,1,,,,,,,,,,,,,,,
DD,Painting ,DD0051,แม่สี Pigment STAIN--สีฟ้า TOA#3603 5 L,,,,0,,,1,,,,,,,,,,,,,,,
DD,Painting ,DD0052,สีน้ำทาฝ้า  ภายใน--ฟิล์มสีชนิดด้านพิเศษ ขาว TOA#7000 3.785 L,,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0053,สีน้ำทาฝ้า  ภายใน--ฟิล์มสีชนิดด้านพิเศษ สีเพิร์ล ไวท์ TOA#T8000 3.785 L,,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0054,สีทากระเบื้อง ภายนอก--Class Gray กึ่งเงากึ่งด้าน Beger#R-3011 3.785 L,,,,0,,,4,,,,,,,,,,,,,,,
DD,Painting ,DD0055,โพลียูรีเทน ตัวเร่งพียูทับหน้า --(PART B) TOA#4402 4 KG,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,950.00,0,,,2,,,,,,,,,,,,,,,
DD,Painting ,DD0056,แลคเกอร์--(พียูทับหน้าส่วนA)สีใส TOA#2470 16 KG,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,2490.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0057,สีรองพื้น--(พียูรองพื้นใสส่วนA) TOA#2215 16 KG,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,2290.00,0,,,1,,,,,,,,,,,,,,,
DD,Painting ,DD0058,สีพ่นอุตสาหกรรม--ขาวเงา TOA#0900 18 KG,,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0059,สีทับหน้า--PU 7689 90%MATT  TOA#PM6X 16 L,,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0060,สีรองพื้น--กันสนิม เทา เกรดพรีเมี่ยม TOA#G-2010 19 L,,บริษัท เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด,2050.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0061,เชนไดร้ท์ 1 CL--ไม่มีสี - 5 L,,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0062,เชนไดร้ท์ 1 DB--สีน้ำตาลดำ - 5 L,,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0063,โป๊ว--สีเหลือง Mr.PETER#1263 4 KG,,,,0,,,44,,,,,,,,,,,,,,,
DD,Painting ,DD0064,น้ำยาเร่งโป๊วสีเหลือง --- - - -,,,,0,,,120,,,,,,,,,,,,,,,
DD,Painting ,DD0065,กรวยกรองสี P-TNPS/125,,,2.95,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0066,กรวยกรองสี P-TNPS/190,,,2.95,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0067,สีพียู--(พียูทับหน้าขาวด้านส่วน A) TOA#8236 16 KG,,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0068,สีพียู--(พียูรองพื้นขาวส่วน A) TOA#8441 16 KG,,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0069,"ลูกกลิ้งทาสี 10"" พร้อมด้าม",,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,75.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0070,"ลูกกลิ้งทาสี 10""",,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0071,สีพ่นอุตสาหกรรม--ดำด้าน TOA#0999 0.875 L,,เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด,210.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0072,สีรองพื้นงานโลหะ TOA#วอชไพรเมอร์ (A+B) ขนาด 3.785 ลิตร,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,740.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0073,แลคเกอร์--(พียูทับหน้าส่วนA)สีใส TOA#2460 16 KG,,,2490.00,0,,,1,,,,,,,,,,,,,,,
DD,Painting ,DD0074,"ลูกกลิ้งทาสี 4""  พร้อมด้าม",,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,60.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0075,สีหมึกย้อมไม้ ดำ ,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,170.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0076,สีหมึกย้อมไม้ เหลือง,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,170.00,0,,,15,,,,,,,,,,,,,,,
DD,Painting ,DD0077,สีหมึกย้อมไม้ แดง,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,170.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0078,สีหมึกย้อมไม้ เขียว,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,200.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0079,สีหมึกย้อมไม้ น้ำเงิน,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,200.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0080,"ปลอกลูกกลิ้ง 4"" ขนสั้น",,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,60.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0081,ทีโอเอ วอซไพร์เมอร์1168 ส่วนA + ส่วน B,,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0082,สีพ่นโลหะด้าน 7301 TOA#MS40 (3.20 Kg./GL),,,,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0083,ตัวเร่งสีงานโลหะ TOA#MT0B (0.80 Kg./1/4GL),,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,32.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0084,รองพื้นขาว Union Epoxy 2K Primer TOA#EP90 (3.90 Kg./GL),,,,0,,,10,,,,,,,,,,,,,,,
DD,Painting ,DD0085,รองพื้น Union Epoxy 2K #EX0B  (0.70 Kg./GL),,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,250.00,0,,,17,,,,,,,,,,,,,,,
DD,Painting ,DD0086,พียูรองพื้นส่วนเอ (NY) TOA#2218,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,3090.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0087,ตัวเร่งพียูรองพื้น (NY) TOA#2181,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,1200.00,0,,,0,,,,,,,,,,,,,,,
