CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DM,Plumbing,DM0001,ปั้มน้ำ MITSUBISHI รุ่น WP305QS 305 วัตต์,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),6728.97,0,,,,,,,,,,,,,,,,,,
DM,Plumbing,DM0002,"ข้อต่อตรงแบบหนา ฟ้า 25mm 1""",,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),6.41,0,,,,,,,,,,,,,,,,,,
DM,Plumbing,DM0003,"ข้อต่อตรงเกลียวใน ฟ้า 1""",,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),7.81,0,,,,,,,,,,,,,,,,,,
DM,Plumbing,DM0004,น้ำยาเชื่อมท่อ 100g,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),54.74,0,,,,,,,,,,,,,,,,,,
DM,Plumbing,DM0005,เทปพันเกลียว,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),22.30,0,,,,,,,,,,,,,,,,,,
